Timestamp,あなたのブリゲード名をご記入下さい。,取り組んでいる地域課題や興味分野を選んでください（複数選択可能）,取り組んでいる技術などを選んでください（複数選択可能）,"もし他にもブリゲードの特徴を表すキーワードなどあればご記入下さい（複数ある場合は半角カンマ「,」で区切って下さい）",ブリゲードでの主な活動を教えてください（複数選択可）,コンテストやイベントへの出展について、応募経験や検討をしたものがあれば選んでください（複数選択可能）,ブリゲードの設立年月日を教えてください。,ブリゲードでの活動は概ね何人くらいで行われていますか？一番近いものを選択してください。,ブリゲードメンバーの属性を教えてください。,活動の頻度を教えてください（すべての活動での平均を教えてください）,もしミッションステートメントや活動上のモットー等ありましたらご記入下さい。無い場合は、なにも記入せずに進んでください。,もしよろしければブリゲードの紹介文をご記入下さい。無い場合は、なにも記入せずに進んでください。
7/1/2020 21:00:39,CODE for GIFU,"COVID-19, 異文化交流, 河川, 健康, 福祉, まちづくり, 林業","GIS・位置空間情報, オープンデータ, プログラミング",手芸部や天文部がある,"飲み会・食事会・交流会, 勉強会・イベント運営・企画, 他の団体のイベントへの参加, 他の団体との連携活動","FOSS4G, MA ヒーローズリーグ, RESASアプリコンテスト, アーバンデータチャレンジ, オープンソースカンファレンス",11/1/2013,5人〜10人,"ITエンジニア, IT以外のエンジニア, デザイナー, プランナー・コンサルタント, 会社員・団体職員（上記以外）, アーティスト",月に2〜4回,テクノロジーを使って身の回りの困りごとを自分達の手で解決する,「テクノロジーなんてよくわからない」「自分でも出来るかな？」という方にも参加して欲しい。何故なら自分だけで出来ない事を、出来るようにする必要なんてありません。あなたが出来る事を少しずつ分け合う事で、みんなの出来る事を増やすのがシビックテック活動の本質です。だから、私たちはあなたの力が必要なんです。
7/2/2020 17:03:55,Code for Saga,"COVID-19, SDGs, 交通, 地域アーカイブ, 防災, まちづくり","GIS・位置空間情報, オープンデータ, グラレコ・ファシリテーション, ノーコード, プログラミング, 可視化","コミュニティ,ネットワーキング","飲み会・食事会・交流会, 定例の打ち合わせ, プロダクト開発・運営, 勉強会・イベント運営・企画, 他の団体のイベントへの参加, 自治体との連携活動","アーバンデータチャレンジ, 佐賀大学Dフェス",2/22/2014,10人〜20人,"ITエンジニア, デザイナー, プランナー・コンサルタント, 会社員・団体職員（上記以外）, 行政職員, NPO関係者, 研究者・教員",月に1回,ICTの力で、私たちの街をもっと暮らしやすいところに…,コードが書ける人も書けない人も、ICTが得意な人もそうでない人も、みんなでワイワイと楽しみながら、真面目に地域課題と向き合っています。
7/3/2020 15:25:51,Code for NAGAREYAMA,"COVID-19, 教育, 子育て, まちづくり","Wikipedia・Wikidata, オープンデータ, ノーコード, プログラミング",,勉強会・イベント運営・企画,チャレンジオープンガバナンス,12/1/2014,5人〜10人,"ITエンジニア, 会社員・団体職員（上記以外）, 行政職員, 研究者・教員, 学生",2ヶ月に1回,シビックテックx教育と、市民のやる気xノンコード,Code for NAGAREYAMA は自分たちの地域から始まる事を中止に活動をして、地域の他の団体などとコラボレーションをしています^_^
7/9/2020 19:56:33,Code for Nagoya,"観光, 交通, 障害者支援, 福祉, 防災","GIS・位置空間情報, Wikipedia・Wikidata, オープンデータ, グラレコ・ファシリテーション, プログラミング, 可視化, 機械学習",代表月替わり制,"飲み会・食事会・交流会, 定例の打ち合わせ, 勉強会・イベント運営・企画, 他の団体のイベントへの参加, 自治体との連携活動, 他の団体との連携活動","FOSS4G, LODチャレンジ, MA ヒーローズリーグ, RESASアプリコンテスト, Startup Weekend, アーバンデータチャレンジ, オープンソースカンファレンス",12/14/2013,10人〜20人,"ITエンジニア, デザイナー, 会社員・団体職員（上記以外）, 行政職員, 研究者・教員, 学生",月に2〜4回,テクノロジーで街を楽しく！,一度代表を経験した人は名誉代表になれるというゆるい団体です！お気軽にご参加下さい。
8/13/2020 13:21:13,Code for SAITAMA,"SDGs, 環境, 観光, 官民協働, 農業, 防災, まちづくり","GIS・位置空間情報, IoT, SNS, オープンデータ, ドローン, プログラミング","リモートセンシング,  点群データ,  AI","飲み会・食事会・交流会, 勉強会・イベント運営・企画, 他の団体のイベントへの参加, 自治体との連携活動, 他の団体との連携活動","FOSS4G, LODチャレンジ, アーバンデータチャレンジ",12/1/2013,5人〜10人,"ITエンジニア, IT以外のエンジニア, 会社員・団体職員（上記以外）, 行政職員, 研究者・教員, 無職",月に1回,シビックテックで空間情報社会を醸成する,空間情報社会の醸成を目指しGISの実装を行ってます。
8/13/2020 13:22:05,CODE for AIZU,"COVID-19, 官民協働, 教育, 産業, 障害者支援, 文化","GIS・位置空間情報, オープンデータ, 可視化, ブロックチェーン",,"勉強会・イベント運営・企画, 他の団体のイベントへの参加, 自治体との連携活動","LODチャレンジ, MA ヒーローズリーグ, NASA Space Apps Challenge, RESASアプリコンテスト, アーバンデータチャレンジ, オープンソースカンファレンス, チャレンジオープンガバナンス",11/14/2013,把握していない,"ITエンジニア, IT以外のエンジニア, デザイナー, プランナー・コンサルタント, 会社員・団体職員（上記以外）, 行政職員, NPO関係者, 研究者・教員, 学生, アーティスト, 主婦・主夫, 無職",月に2〜4回,地域でつくる、市民でつくる、まちをもっと楽しく豊かに,"プロジェクトの集合体、行動する人の集合体
ネットワークとしてのCODE for AIZU、団体ではなく理念"
8/13/2020 13:57:08,Code for MIKAWA,"COVID-19, SDGs, 河川, 観光, 官民協働, 交通, 公共施設, 子育て, 産業, 市民活動連携・地域活動連携, 食, 生活, 地域アーカイブ, 文化","GIS・位置空間情報, IoT, SNS, Wikipedia・Wikidata, オープンデータ, スマートスピーカー, ドローン, 通信（5G, LoRa）","社会実装,地域文化発信","飲み会・食事会・交流会, 定例の打ち合わせ, プロダクト開発・運営, 勉強会・イベント運営・企画, 他の団体のイベントへの参加, 自治体との連携活動",アーバンデータチャレンジ,1/24/2014,10人〜20人,"ITエンジニア, IT以外のエンジニア, 会社員・団体職員（上記以外）, 行政職員, 研究者・教員",月に1回,シビックテックでまちはもっと楽しくなる,"東三河を中心としたテクノロジーが好きな人が集うコミュニティーです。 「次世代を担うクリエイティブな人材の発掘・育成」と「テクノロジーを活用した地域課題解決」を目的とした非営利団体です。

様々な人たちと立場を超えた交流を通して、地域をより「豊」かにするための架け「橋」となるべく「地域とともに学び、ともに創造する」ための活動を行っていきます。

テクノロジーに興味関心がある方なら誰でも参加OKです。 見学だけでも構いませんので、お気軽にイベントにご参加下さい。"
8/13/2020 13:59:50,Code for Gumyoji,"市民活動連携・地域活動連携, 食, まちづくり","オープンデータ, プログラミング","学校,大学,寺","飲み会・食事会・交流会, プロダクト開発・運営","LODチャレンジ, NASA Space Apps Challenge, アーバンデータチャレンジ, チャレンジオープンガバナンス",12/3/2018,1人〜5人,"ITエンジニア, デザイナー, 学生",月に1回,小学校の総合学習のときに弘明寺商店街向けにプログラミングをして、地域が盛り上がった感動がきっかけとなっています．キッズのICT活動を続けたいという思いで運営しています。,小学生・中学生・高校生だけで運営しています。困ったときにたまにおとなの方にサポートいただいています。近隣の学校・商店街と連携して、活動しています。
8/13/2020 14:13:02,Code for Kumagaya,"SDGs, 観光, 市民活動連携・地域活動連携, 防災, まちづくり","GIS・位置空間情報, SNS, Wikipedia・Wikidata",,勉強会・イベント運営・企画,アーバンデータチャレンジ,4/21/2017,1人〜5人,"ITエンジニア, 会社員・団体職員（上記以外）, NPO関係者, 研究者・教員",半年に1回,,
8/13/2020 15:17:08,Code for Kanagawa,"医療, 観光, 教育, 都市計画, まちづくり","SNS, Wikipedia・Wikidata, オープンデータ, 機械学習",,"定例の打ち合わせ, 勉強会・イベント運営・企画, 自治体との連携活動, 他の団体との連携活動",なし,12/1/2014,5人〜10人,"IT以外のエンジニア, プランナー・コンサルタント, 会社員・団体職員（上記以外）, 行政職員, 無職",月に2〜4回,,
